date	title	artist	rank
2/24/1973	Breaking Up Somebody's Home	Albert King	91.00
2/24/1973	Don't Burn Me	Paul Kelly	79.00
2/24/1973	Happy	Bobby Darin	67.00
2/24/1973	Harry Hippie	Bobby Womack & Peace	52.00
2/24/1973	"Hi, Hi, Hi"	Wings	38.00
2/24/1973	Jesus Is Just Alright	The Doobie Brothers	35.00
2/24/1973	Reelin' & Rockin'	Chuck Berry	47.00
2/24/1973	She's Got To Be A Saint	Ray Price	98.00
2/24/1973	Superfly	Curtis Mayfield	58.00
2/24/1973	"You Turn Me On, I'm A Radio"	Joni Mitchell	45.00
2/24/1973	Your Mama Don't Dance	Kenny Loggins & Jim Messina	30.00
3/3/1973	Good Morning	Michael Redway	85.00
3/3/1973	How Can I Tell You	Travis Wammack	68.00
3/3/1973	"Living Together, Growing Together"	The 5th Dimension	37.00
3/3/1973	Love Jones	Brighter Side Of Darkness	53.00
3/3/1973	Love Music	The Raiders	97.00
3/3/1973	Palace Guard	Rick Nelson And The Stone Canyon Band	76.00
3/3/1973	Superstition	Stevie Wonder	29.00
3/3/1973	The World Is A Ghetto	War	43.00
3/3/1973	Trouble Man	Marvin Gaye	62.00
3/3/1973	Why Can't We Live Together	Timmy Thomas	25.00
3/10/1973	Control Of Me	Les Emmerson	55.00
3/10/1973	Do It Again	Steely Dan	24.00
3/10/1973	Dreidel	Don McLean	29.00
3/10/1973	Girl You Need A Change Of Mind (Part 1)	Eddie Kendricks	87.00
3/10/1973	I Got Ants In My Pants (and i want to dance) (Part 1)	James Brown	41.00
3/10/1973	"Oh, Babe, What Would You Say?"	Hurricane Smith	33.00
3/10/1973	Today I Started Loving You Again	Bettye Swann	46.00
3/10/1973	We Did It	Syl Johnson	95.00
3/17/1973	Bell Bottom Blues	Eric Clapton	78.00
3/17/1973	Don't Cross The River	America	53.00
3/17/1973	Follow Your Daughter Home	The Guess Who	61.00
3/17/1973	Jambalaya (On The Bayou)	The Blue Ridge Rangers	41.00
3/17/1973	Lost Horizon	Shawn Phillips	63.00
3/17/1973	Peaceful Easy Feeling	Eagles	54.00
3/17/1973	Rosalie	Sam Neely	43.00
3/17/1973	"Stop, Wait & Listen"	Circus	91.00
3/24/1973	"Boo, Boo, Don't 'Cha Be Blue"	Tommy James	70.00
3/24/1973	Dancing In The Moonlight	King Harvest	44.00
3/24/1973	Don't Expect Me To Be Your Friend	Lobo	58.00
3/24/1973	Keep On Singing	Austin Roberts	72.00
3/24/1973	"Names, Tags, Numbers & Labels"	The Association	96.00
3/24/1973	One Man Parade	James Taylor	76.00
3/24/1973	Rosanna	Dennis Yost And The Classics IV	95.00
3/24/1973	The Message	Cymande	61.00
3/24/1973	You're So Vain	Carly Simon	49.00
3/31/1973	Crocodile Rock	Elton John	45.00
3/31/1973	Do It In The Name Of Love	Candi Staton	65.00
3/31/1973	Dream Me Home	Mac Davis	83.00
3/31/1973	Give Me Your Love	Barbara Mason	54.00
3/31/1973	Kufanya Mapenzi (Making Love)	Ramsey Lewis	93.00
3/31/1973	Love Is What You Make It	The Grass Roots	61.00
3/31/1973	Magic Woman Touch	The Hollies	66.00
3/31/1973	Rocky Mountain High	John Denver	51.00
3/31/1973	Soul Song	Joe Stampley	55.00
4/7/1973	Big City Miss Ruth Ann	Gallery	48.00
4/7/1973	Could It Be I'm Falling In Love	The Spinners	27.00
4/7/1973	Daddy's Home	Jermaine Jackson	33.00
4/7/1973	Do You Want To Dance?	Bette Midler	50.00
4/7/1973	Good Morning Heartache	Diana Ross	57.00
4/7/1973	Hello Hurray	Alice Cooper	69.00
4/7/1973	I'm Just A Singer (In A Rock And Roll Band)	The Moody Blues	30.00
4/7/1973	If You Gotta Break Another Heart	Albert Hammond	63.00
4/7/1973	Kissing My Love	Bill Withers	46.00
4/7/1973	One Less Set Of Footsteps	Jim Croce	53.00
4/7/1973	Pardon Me Sir	Joe Cocker	73.00
4/7/1973	Saw A New Morning	Bee Gees	94.00
4/7/1973	Wish That I Could Talk To You	The Sylvers	98.00
4/14/1973	Aubrey	Bread	69.00
4/14/1973	Dueling Banjos	Deliverance/Eric Weissberg & Steve Mandell	31.00
4/14/1973	Gudbuy T' Jane	Slade	68.00
4/14/1973	Hummingbird	Seals & Crofts	28.00
4/14/1973	Last Song	Edward Bear	23.00
4/14/1973	Master Of Eyes (The Deepness Of Your Eyes)	Aretha Franklin	44.00
4/14/1973	Mr. Magic Man	Wilson Pickett	98.00
4/14/1973	River Road	Uncle Dog	86.00
4/14/1973	"The Cover Of ""Rolling Stone"""	Dr. Hook And The Medicine Show	25.00
4/14/1973	Yesterday I Had The Blues	Harold Melvin And The Blue Notes	63.00
4/21/1973	A Letter To Myself	The Chi-lites	40.00
4/21/1973	Also Sprach Zarathustra (2001)	Deodato	23.00
4/21/1973	Bitter Bad	Melanie	44.00
4/21/1973	Cook With Honey	Judy Collins	66.00
4/21/1973	Dead Skunk	Loudon Wainwright III	32.00
4/21/1973	Delta Queen	Don Fardon	86.00
4/21/1973	Down And Out In New York City	James Brown	52.00
4/21/1973	Friend And A Lover	The Partridge Family Starring Shirley Jones Featuring David Cassidy	99.00
4/21/1973	If I Could Only Be Sure	Nolan Porter	89.00
4/21/1973	Let Your Yeah Be Yeah	Brownsville Station	57.00
4/21/1973	Love Train	The O'Jays	28.00
4/21/1973	"Mama Was A Rock And Roll Singer, Papa Used To Write All Her Songs Part 1"	Sonny & Cher	77.00
4/21/1973	Superman	Donna Fargo	64.00
4/28/1973	Across 110th Street	Bobby Womack & Peace	56.00
4/28/1973	Call Me (Come Back Home)	Al Green	34.00
4/28/1973	Fool Like You	Tim Moore	93.00
4/28/1973	Last Tango In Paris	Herb Alpert & The Tijuana Brass	77.00
4/28/1973	Nobody Wins	Brenda Lee	70.00
4/28/1973	Space Oddity	David Bowie	39.00
4/28/1973	The Lord Knows I'm Drinking	Cal Smith	64.00
5/5/1973	Always	Luther Ingram	64.00
5/5/1973	Am I Black Enough For You	Billy Paul	79.00
5/5/1973	Cindy Incidentally	Faces	66.00
5/5/1973	Danny's Song	Anne Murray	39.00
5/5/1973	Everything's Been Changed	The 5th Dimension	70.00
5/5/1973	Let Me Down Easy	Cornelius Brothers & Sister Rose	96.00
5/5/1973	Oh La De Da	The Staple Singers	57.00
5/5/1973	Only Love	Bill Quateman	86.00
5/5/1973	People Are Changin'	Timmy Thomas	75.00
5/5/1973	Step By Step	Joe Simon	62.00
5/12/1973	Ain't No Woman (Like The One I've Got)	Four Tops	33.00
5/12/1973	Break Up To Make Up	The Stylistics	73.00
5/12/1973	Dancing To Your Music	Archie Bell & The Drells	61.00
5/12/1973	If We Try	Don McLean	63.00
5/12/1973	Killing Me Softly With His Song	Roberta Flack	56.00
5/12/1973	Neither One Of Us (Wants To Be The First To Say Goodbye)	Gladys Knight And The Pips	43.00
5/12/1973	One Man Band (Plays All Alone)	Ronnie Dyson	58.00
5/12/1973	Stir It Up	Johnny Nash	49.00
5/12/1973	Who Was It?	Hurricane Smith	60.00
5/19/1973	"""Cherry Cherry"" from Hot August Night"	Neil Diamond	51.00
5/19/1973	Blue Suede Shoes	Johnny Rivers	53.00
5/19/1973	Dueling Tubas	Martin Mull and Orchestra	99.00
5/19/1973	Hallelujah Day	Jackson 5	58.00
5/19/1973	"Pinball Wizard/See Me, Feel Me"	The New Seekers	56.00
5/19/1973	Walk On The Wild Side	Lou Reed	32.00
5/26/1973	A Little Bit Like Magic	King Harvest	91.00
5/26/1973	Cosmic Sea	The Mystic Moods	84.00
5/26/1973	It's Hard To Stop (Doing Something When It's Good To You)	Betty Wright	72.00
5/26/1973	Masterpiece	The Temptations	56.00
5/26/1973	Only In Your Heart	America	62.00
5/26/1973	Peaceful	Helen Reddy	75.00
5/26/1973	Sing	Carpenters	48.00
5/26/1973	The Twelfth Of Never	Donny Osmond	50.00
5/26/1973	Working Class Hero	Tommy Roe	97.00
6/2/1973	California Saga (On My Way To Sunny Californ-i-a)	The Beach Boys	84.00
6/2/1973	Cum On Feel The Noize	Slade	98.00
6/2/1973	Daisy A Day	Jud Strunk	44.00
6/2/1973	I Knew Jesus (Before He Was A Star)	Glen Campbell	60.00
6/2/1973	I'm A Stranger Here	Five Man Electrical Band	76.00
6/2/1973	I'm Leavin' You	Engelbert Humperdinck	99.00
6/2/1973	Outlaw Man	David Blue	94.00
6/2/1973	What A Shame	Foghat	82.00
6/9/1973	Armed And Extremely Dangerous	First Choice	58.00
6/9/1973	Bad Weather	The Supremes	87.00
6/9/1973	Come Live With Me	Roy Clark	89.00
6/9/1973	Don't Let It Get You Down	The Crusaders	88.00
6/9/1973	Drinking Wine Spo-dee O'dee	Jerry Lee Lewis	52.00
6/9/1973	Out Of The Question	Gilbert O'Sullivan	93.00
6/9/1973	The Cisco Kid	War	32.00
6/9/1973	Together We Can Make Such Sweet Music	The Spinners	91.00
6/9/1973	Your Side Of The Bed	Mac Davis	95.00
6/16/1973	A Passion Play (Edit #8)	Jethro Tull	92.00
6/16/1973	Fencewalk	Mandrill	74.00
6/16/1973	Hearts Of Stone	The Blue Ridge Rangers	83.00
6/16/1973	I Can Understand It	The New Birth	58.00
6/16/1973	I Like You	Donovan	82.00
6/16/1973	I' Been Watchin' You	The South Side Movement	72.00
6/16/1973	Isn't It About Time	Stephen Stills-Manassas	87.00
6/16/1973	"It Sure Took A Long, Long Time"	Lobo	60.00
6/16/1973	What's Your Mama's Name	Tanya Tucker	96.00
6/16/1973	With A Child's Heart	Michael Jackson	56.00
6/16/1973	Without You In My Life	Tyrone Davis	73.00
6/16/1973	You Can't Always Get What You Want	The Rolling Stones	61.00
6/23/1973	Little Willy	The Sweet	37.00
6/23/1973	Music Everywhere	Tufano & Giammarese	98.00
6/23/1973	Reeling In The Years	Steely Dan	46.00
6/23/1973	Super Fly Meets Shaft	John & Ernest	70.00
6/23/1973	The Night The Lights Went Out In Georgia	Vicki Lawrence	41.00
6/23/1973	The Right Thing To Do	Carly Simon	56.00
6/23/1973	Thinking Of You	Loggins & Messina	52.00
6/30/1973	Avenging Annie	Andy Pratt	95.00
6/30/1973	Close Your Eyes	Edward Bear	57.00
6/30/1973	Funky Worm	Ohio Players	71.00
6/30/1973	I Can Make It Thru The Days (But Oh Those Lonely Nights)	Ray Charles	89.00
6/30/1973	I Don't Want To Make You Wait	The Delfonics	91.00
6/30/1973	Leaving Me	The Independents	41.00
6/30/1973	Letter To Lucille	Tom Jones	60.00
6/30/1973	Mother-in-law	Clarence Carter	80.00
6/30/1973	My Heart Just Keeps On Breakin'	The Chi-lites	92.00
6/30/1973	No More Mr. Nice Guy	Alice Cooper	38.00
6/30/1973	Shambala	B.W. Stevenson	88.00
6/30/1973	Steamroller Blues/Fool	Elvis Presley	53.00
6/30/1973	Stuck In The Middle With You	Stealers Wheel	47.00
6/30/1973	Teddy Bear Song	Barbara Fairchild	85.00
7/7/1973	Back When My Hair Was Short	Gunhill Road	62.00
7/7/1973	Hocus Pocus	Focus	81.00
7/7/1973	Kids Say The Darndest Things	Tammy Wynette	74.00
7/7/1973	Let's Pretend	Raspberries	57.00
7/7/1973	Love And Happiness	Earnest Jackson	72.00
7/7/1973	The Free Electric Band	Albert Hammond	64.00
7/7/1973	Wildflower	Skylark	79.00
7/7/1973	You Are The Sunshine Of My Life	Stevie Wonder	55.00
7/14/1973	Daniel	Elton John	58.00
7/14/1973	Drift Away	Dobie Gray	64.00
7/14/1973	First Cut Is The Deepest	Keith Hampshire	78.00
7/14/1973	Give It To Me	The J. Geils Band	63.00
7/14/1973	Hello Stranger	Fire And Rain	100.00
7/14/1973	I'm Doin' Fine Now	New York City	30.00
7/14/1973	What About Me	Anne Murray	73.00
7/14/1973	You Always Come Back (To Hurting Me)	Johnny Rodriguez	86.00
7/21/1973	Be What You Are	The Staple Singers	73.00
7/21/1973	Brother's Gonna Work It Out	Willie Hutch	94.00
7/21/1973	Frankenstein	Edgar Winter Group	40.00
7/21/1973	Giving It All Away	Roger Daltrey	96.00
7/21/1973	Hey You! Get Off My Mountain	The Dramatics	56.00
7/21/1973	Tie A Yellow Ribbon Round The Ole Oak Tree	Dawn Featuring Tony Orlando	98.00
7/21/1973	You'll Never Get To Heaven (If You Break My Heart)	The Stylistics	71.00
7/28/1973	And I Love You So	Perry Como	67.00
7/28/1973	Black Byrd	Donald Byrd	99.00
7/28/1973	Blockbuster	The Sweet	73.00
7/28/1973	I'd Rather Be A Cowboy	John Denver	76.00
7/28/1973	My Merry-go-round	Johnny Nash	93.00
7/28/1973	Roland The Roadie And Gertrude The Groupie	Dr. Hook And The Medicine Show	91.00
7/28/1973	Swamp Witch	Jim Stafford	68.00
7/28/1973	The Plastic Man	The Temptations	62.00
7/28/1973	Watergrate	Dickie Goodman	56.00
7/28/1973	You Were Always There	Donna Fargo	100.00
8/4/1973	"Daddy Could Swear, I Declare"	Gladys Knight And The Pips	59.00
8/4/1973	Finder's Keepers	Chairman Of The Board	79.00
8/4/1973	Friend Of Mine	Bill Withers	97.00
8/4/1973	Give Your Baby A Standing Ovation	The Dells	80.00
8/4/1973	Goin' Home	The Osmonds	66.00
8/4/1973	He Did With Me	Vicki Lawrence	82.00
8/4/1973	One Of A Kind (Love Affair)	The Spinners	56.00
8/4/1973	Smoke! Smoke! Smoke! (That Cigarette)	Commander Cody	94.00
8/4/1973	Soul Makossa	Afrique	58.00
8/4/1973	Sunshine	Mickey Newbury	87.00
8/4/1973	There You Go	Edwin Starr	83.00
8/4/1973	Time To Get Down	The O'Jays	63.00
8/11/1973	Darling Come Back Home	Eddie Kendricks	67.00
8/11/1973	Doing It To Death	Fred Wesley & The J.B.'s	55.00
8/11/1973	I'm Gonna Love You Just A Little More Baby	Barry White	76.00
8/11/1973	It's Forever	The Ebonys	69.00
8/11/1973	L.a. Freeway	Jerry Jeff Walker	98.00
8/11/1973	My Love	Paul McCartney And Wings	59.00
8/11/1973	"Never, Never, Never (Grande, Grande, Grande)"	Shirley Bassey	78.00
8/11/1973	Over The Hills And Far Away	Led Zeppelin	64.00
8/11/1973	Pillow Talk	Sylvia (r&b)	73.00
8/11/1973	Roll Over Beethoven	Electric Light Orchestra	65.00
8/11/1973	Tequila Sunrise	Eagles	74.00
8/18/1973	Didn't I	Sylvia (r&b)	72.00
8/18/1973	Give Me Love - (Give Me Peace On Earth)	George Harrison	57.00
8/18/1973	I'll Always Love My Mama (Part I)	The Intruders	56.00
8/18/1973	Kodachrome	Paul Simon	58.00
8/18/1973	Long Train Runnin'	The Doobie Brothers	52.00
8/18/1973	"Lord, Mr. Ford"	Jerry Reed	79.00
8/18/1973	Satin Sheets	Jeanne Pruett	63.00
8/18/1973	Soul Makossa	Manu Dibango	54.00
8/18/1973	There's No Me Without You	The Manhattans	59.00
8/18/1973	Think	James Brown	80.00
8/25/1973	Boogie Woogie Bugle Boy	Bette Midler	46.00
8/25/1973	Misdemeanor	Foster Sylvers	49.00
8/25/1973	Money	Pink Floyd	42.00
8/25/1973	Natural High	Bloodstone	37.00
8/25/1973	One Tin Soldier (The Legend of Billy Jack)	Coven	80.00
8/25/1973	Playground In My Mind	Clint Holmes	62.00
8/25/1973	Right Place Wrong Time	Dr. John	48.00
8/25/1973	Sixty Minute Man/Mother-In-Law	Clarence Carter	69.00
8/25/1973	Sylvia	Focus	95.00
8/25/1973	The Long Way Home	Neil Diamond	91.00
8/25/1973	Where Peaceful Waters Flow	Gladys Knight And The Pips	63.00
8/25/1973	Will It Go Round In Circles	Billy Preston	45.00
9/1/1973	Behind Closed Doors	Charlie Rich	46.00
9/1/1973	Bongo Rock	The Incredible Bongo Band	65.00
9/1/1973	Clouds	David Gates	49.00
9/1/1973	Everyone's Agreed That Everything Will Turn Out Fine	Stealers Wheel	59.00
9/1/1973	"Love, Love, Love"	Donny Hathaway	66.00
9/1/1973	Shambala	Three Dog Night	44.00
9/1/1973	So Very Hard To Go	Tower Of Power	43.00
9/1/1973	Stay Away From Me	The Sylvers	89.00
9/1/1973	Top Of The World	Lynn Anderson	79.00
9/1/1973	Yesterday Once More	Carpenters	35.00
9/8/1973	Baby I've Been Missing You	The Independents	44.00
9/8/1973	Billion Dollar Babies	Alice Cooper	58.00
9/8/1973	Diamond Girl	Seals & Crofts	45.00
9/8/1973	How Can I Tell Her	Lobo	33.00
9/8/1973	I Was Checkin' Out She Was Checkin' In	Don Covay	40.00
9/8/1973	Smoke On The Water	Deep Purple	50.00
9/8/1973	The Hurt	Cat Stevens	47.00
9/8/1973	Until It's Time For You To Go	The New Birth	97.00
9/8/1973	You Light Up My Life/Believe In Humanity	Carole King	38.00
9/15/1973	Are You Man Enough	Four Tops	26.00
9/15/1973	"Bad, Bad Leroy Brown"	Jim Croce	37.00
9/15/1973	Make Up Your Mind	The J. Geils Band	98.00
9/15/1973	Monster Mash	"Bobby ""Boris"" Pickett And The Crypt-Kickers"	31.00
9/15/1973	Show Biz Kids	Steely Dan	74.00
9/15/1973	Slick	Willie Hutch	65.00
9/15/1973	Soul Je T'aime	Sylvia And Ralfi Pagan	99.00
9/15/1973	Uneasy Rider	Charlie Daniels	32.00
9/22/1973	A Million To One/Young Love	Donny Osmond	46.00
9/22/1973	All I Need Is Time	Gladys Knight And The Pips	69.00
9/22/1973	Don't Let It End ('til You Let It Begin)	The Miracles	63.00
9/22/1973	Future Shock	Curtis Mayfield	59.00
9/22/1973	Hang Loose	Mandrill	98.00
9/22/1973	Just Don't Want To Be Lonely	Ronnie Dyson	62.00
9/22/1973	Nobody Wants You When You're Down And Out	Bobby Womack	49.00
9/22/1973	Queen Of The Roller Derby	Leon Russell	89.00
9/22/1973	Sweet Charlie Babe	Jackie Moore	53.00
9/22/1973	The Peacemaker	Albert Hammond	88.00
9/22/1973	There It Is	Tyrone Davis	47.00
9/22/1973	"They're Coming To Take Me Away, Ha-Haaa!"	Napoleon XIV	90.00
9/22/1973	Twisting The Night Away	Rod Stewart	74.00
9/29/1973	Angel	Aretha Franklin	65.00
9/29/1973	As Time Goes By	Nilsson	95.00
9/29/1973	Freedom For The Stallion	The Hues Corporation	67.00
9/29/1973	Get Down	Gilbert O'Sullivan	45.00
9/29/1973	Parrty - Part I	Maceo And The Macks	76.00
9/29/1973	Send A Little Love My Way	Anne Murray	75.00
9/29/1973	Sweet Harmony	Smokey Robinson	54.00
9/29/1973	That's Why You Remember	Kenny Karen	82.00
9/29/1973	The Last Thing On My Mind	Neil Diamond	59.00
9/29/1973	The Morning After	Maureen McGovern	55.00
10/6/1973	Feelin' Stronger Every Day	Chicago	60.00
10/6/1973	Ghetto Child	The Spinners	59.00
10/6/1973	He	Today's People	90.00
10/6/1973	I Believe In You (You Believe In Me)	Johnnie Taylor	52.00
10/6/1973	Live And Let Die	Wings	36.00
10/6/1973	Make Me Twice The Man	New York City	100.00
10/6/1973	Muskrat Love	America	75.00
10/6/1973	"Sexy, Sexy, Sexy"	James Brown	55.00
10/13/1973	Evil	"Earth, Wind & Fire"	70.00
10/13/1973	Farewell Andromeda (Welcome To My Morning)	John Denver	96.00
10/13/1973	Gypsy Man	War	41.00
10/13/1973	Here I Am Come & Take Me	Al Green	51.00
10/13/1973	I've Got So Much To Give	Barry White	52.00
10/13/1973	Love Is All	Engelbert Humperdinck	91.00
10/13/1973	Loving Arms	Dobie Gray	67.00
10/13/1973	Rhapsody In Blue	Deodato	58.00
10/13/1973	Tonight	Raspberries	97.00
10/20/1973	Blood Red And Goin' Down	Tanya Tucker	89.00
10/20/1973	Brother Louie	Stories	38.00
10/20/1973	Everybody's Had The Blues	Merle Haggard And The Strangers	76.00
10/20/1973	If You Want Me To Stay	Sly & The Family Stone	59.00
10/20/1973	Kid Stuff	Barbara Fairchild	100.00
10/20/1973	Saturday Night's Alright For Fighting	Elton John	49.00
10/20/1973	Slippin' Away	Jean Shepard	98.00
10/20/1973	Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters	48.00
10/20/1973	This Time It's Real	Tower Of Power	65.00
10/20/1973	Touch Me In The Morning	Diana Ross	40.00
10/20/1973	Woman From Tokyo	Deep Purple	60.00
10/20/1973	You're The Best Thing That Ever Happened To Me	Ray Price	82.00
10/27/1973	Ashes To Ashes	The 5th Dimension	61.00
10/27/1973	Hey Girl (i Like Your Style)	The Temptations	64.00
10/27/1973	Jimmy Loves Mary-Anne	Looking Glass	52.00
10/27/1973	Mr. Skin	Spirit	92.00
10/27/1973	Ridin' My Thumb To Mexico	Johnny Rodriguez	71.00
10/27/1973	"Say, Has Anybody Seen My Sweet Gypsy Rose"	Dawn Featuring Tony Orlando	47.00
10/27/1973	Stoned Out Of My Mind	The Chi-lites	54.00
10/27/1973	Take A Closer Look At The Woman You're With	Wilson Pickett	90.00
10/27/1973	West Coast Woman	Painter	88.00
11/3/1973	(I Don't Want To Love You But) You Got Me Anyway	Sutherland Brothers And Quiver	59.00
11/3/1973	Delta Dawn	Helen Reddy	42.00
11/3/1973	"Hey, Little Girl"	Foster Sylvers	98.00
11/3/1973	In The Midnight Hour	Cross Country	54.00
11/3/1973	Outlaw Man	Eagles	73.00
11/3/1973	Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry	Hank Wilson	83.00
11/3/1973	Rubber Bullets	10cc	78.00
11/3/1973	To Know You Is To Love You	B.B. King	61.00
11/10/1973	China Grove	The Doobie Brothers	47.00
11/10/1973	Gotta Find A Way	The Moments	95.00
11/10/1973	I Won't Last A Day Without You	Maureen McGovern	100.00
11/10/1973	If I Were Only A Child Again	Curtis Mayfield	71.00
11/10/1973	Let Me Be Your Lovemaker	Betty Wright	69.00
11/10/1973	Let Me In	The Osmonds	66.00
11/10/1973	Life Ain't Easy	Dr. Hook And The Medicine Show	83.00
11/10/1973	My Maria	B.W. Stevenson	32.00
11/10/1973	Sister James	Nino Tempo And 5th Ave. Sax	74.00
11/10/1973	Such A Night	Dr. John	72.00
11/10/1973	You'd Better Believe It	The Manhattans	96.00
11/10/1973	You've Never Been This Far Before	Conway Twitty	55.00
11/17/1973	Basketball Jones Featuring Tyrone Shoelaces	Cheech & Chong	46.00
11/17/1973	Ecstasy	Ohio Players	45.00
11/17/1973	Free Ride	Edgar Winter Group	62.00
11/17/1973	Higher Ground	Stevie Wonder	33.00
11/17/1973	Jesse	Roberta Flack	64.00
11/17/1973	Let's Get It On	Marvin Gaye	30.00
11/17/1973	Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)	35.00
11/17/1973	Raised On Rock/For Ol' Times Sake	Elvis Presley	68.00
11/17/1973	Rocky Mountain Way	Joe Walsh	66.00
11/17/1973	We're An American Band	Grand Funk	44.00
11/17/1973	You're In Good Hands	Jermaine Jackson	81.00
11/24/1973	Funky Stuff	Kool & The Gang	58.00
11/24/1973	Get It Together	Jackson 5	54.00
11/24/1973	Hurts So Good	Millie Jackson	49.00
11/24/1973	I'm Coming Home	Johnny Mathis	82.00
11/24/1973	My Pretending Days Are Over	The Dells	56.00
11/24/1973	Stealin'	Uriah Heep	100.00
11/24/1973	Summer (The First Time)	Bobby Goldsboro	36.00
11/24/1973	That Lady (Part 1)	The Isley Brothers	34.00
11/24/1973	Vado Via	Drupi	88.00
12/1/1973	Back For A Taste Of Your Love	Syl Johnson	98.00
12/1/1973	Friends/chapel Of Love	Bette Midler	52.00
12/1/1973	Frisky	Sly & The Family Stone	79.00
12/1/1973	Oh! No Not My Baby	Rod Stewart	70.00
12/1/1973	Redneck Friend	Jackson Browne	94.00
12/1/1973	Rock 'N Roll (I Gave You The Best Years of My Life)	Kevin Johnson	73.00
12/1/1973	There Ain't No Way	Lobo	68.00
12/1/1973	Yes We Can Can	The Pointer Sisters	46.00
12/8/1973	"""Having A Party"" Medley"	The Ovations (Featuring Louis Williams)	62.00
12/8/1973	Check It Out	Tavares	58.00
12/8/1973	Country Sunshine	Dottie West	66.00
12/8/1973	"I Don't Know What It Is, But It Sure Is Funky"	Ripple	76.00
12/8/1973	It's All Over	The Independents	75.00
12/8/1973	Little Girl Gone	Donna Fargo	88.00
12/8/1973	Ramblin Man	The Allman Brothers Band	51.00
12/8/1973	Sail Around The World	David Gates	67.00
12/8/1973	Sweet Understanding Love	Four Tops	54.00
12/8/1973	We May Never Pass This Way (Again)	Seals & Crofts	46.00
12/15/1973	All I Know	Garfunkel	44.00
12/15/1973	Half-Breed	Cher	51.00
12/15/1973	Knockin' On Heaven's Door	Bob Dylan	43.00
12/15/1973	Love Me For What I Am/there Ain't No Way	Lobo	87.00
12/15/1973	Mammy Blue	Stories	65.00
12/15/1973	Never Let You Go	Bloodstone	64.00
12/15/1973	Nutbush City Limits	Ike & Tina Turner	48.00
12/15/1973	Ooh Baby	Gilbert O'Sullivan	62.00
12/22/1973	Angie	The Rolling Stones	53.00
12/22/1973	Be	Neil Diamond	54.00
12/22/1973	Cheaper To Keep Her	Johnnie Taylor	51.00
12/22/1973	Come Live With Me	Ray Charles	91.00
12/22/1973	I'm A Rocker	Raspberries	94.00
12/22/1973	Pretty Lady	Lighthouse	60.00
12/22/1973	Why Me	Kris Kristofferson	52.00
12/22/1973	You're A Special Part Of Me	Diana Ross & Marvin Gaye	42.00
12/29/1973	Big Time Operator	Keith Hampshire	81.00
12/29/1973	Coraz’_n	Carole King	51.00
12/29/1973	Fell For You	The Dramatics	96.00
12/29/1973	Half A Million Miles From Home	Albert Hammond	94.00
12/29/1973	Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco	39.00
12/29/1973	Keep On Truckin' (Part 1)	Eddie Kendricks	40.00
12/29/1973	"Love, Reign O'er Me"	The Who	76.00
12/29/1973	My Old School	Steely Dan	79.00
12/29/1973	Paper Roses	Marie Osmond	46.00
12/29/1973	River	Joe Simon	64.00
1/5/1974	Ain't Got No Home	The Band	78.00
1/5/1974	Blue Collar	Bachman-Turner Overdrive	79.00
1/5/1974	Could You Ever Love Me Again	Gary & Dave	100.00
1/5/1974	"It May Be Winter Outside, (But In My Heart It's Spring)"	Love Unlimited	91.00
1/5/1974	Midnight Train To Georgia	Gladys Knight And The Pips	43.00
1/5/1974	Smarty Pants	First Choice	73.00
1/5/1974	Will You Love Me Tomorrow?	Melanie	85.00
1/12/1974	Let Me Serenade You	Three Dog Night	78.00
1/12/1974	Let Me Try Again (Laisse Moi Le Temps)	Frank Sinatra	73.00
1/12/1974	Some Guys Have All The Luck	The Persuaders	82.00
1/12/1974	Somewhere Between Love And Tomorrow	Roy Clark	96.00
1/12/1974	The River Of Love	B.W. Stevenson	60.00
1/19/1974	A Song I'd Like To Sing	Kris Kristofferson & Rita Coolidge	93.00
1/19/1974	I Can't Stand The Rain	Ann Peebles	72.00
1/19/1974	I Found Sunshine	The Chi-lites	98.00
1/19/1974	I Wanna Know Your Name	The Intruders	80.00
1/19/1974	Last Kiss	J. Frank Wilson and The Cavaliers	97.00
1/19/1974	Photograph	Ringo Starr	74.00
1/19/1974	"Please, Daddy"	John Denver	99.00
1/19/1974	Space Race	Billy Preston	95.00
1/19/1974	Tell Her She's Lovely	El Chicano	79.00
1/26/1974	A Fool Such As I	Bob Dylan	67.00
1/26/1974	Can't Say Nothin'	Curtis Mayfield	100.00
1/26/1974	Come Get To This	Marvin Gaye	93.00
1/26/1974	Hangin' Around	Edgar Winter Group	96.00
1/26/1974	I Got A Name	Jim Croce	81.00
1/26/1974	It Doesn't Have To Be That Way	Jim Croce	79.00
1/26/1974	Keep Your Head To The Sky	"Earth, Wind & Fire"	68.00
1/26/1974	My Music	Loggins & Messina	65.00
1/26/1974	Painted Ladies	Ian Thomas	66.00
1/26/1974	The Whole Town's Laughing At Me	Teddy Pendergrass	75.00
1/26/1974	This Is Your Song	Don Goodwin	99.00
1/26/1974	Who's In The Strawberry Patch With Sally	Tony Orlando & Dawn	74.00
2/2/1974	(I'd Know You) Anywhere	Ashford & Simpson	88.00
